product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
ammonia,cbam_default,high,2028,10,10,0.08,hold_final,11.47,halifax_hamburg,halifax_hamburg,False,937.32,1135.59,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2029,10,10,0.08,hold_final,18.36,halifax_hamburg,halifax_hamburg,False,1018.69,1236.39,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,high,2030,10,10,0.08,hold_final,31.91,halifax_hamburg,halifax_hamburg,False,1076.02,1307.27,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2026,10,10,0.08,hold_final,-527.43,ningbo_felixstowe,ningbo_felixstowe,False,8015.02,5269.53,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2027,10,10,0.08,hold_final,-388.19,ningbo_felixstowe,ningbo_felixstowe,False,8785.26,6242.04,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2028,10,10,0.08,hold_final,-485.66,ningbo_felixstowe,ningbo_felixstowe,False,9416.87,6941.72,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2029,10,10,0.08,hold_final,-451.73,ningbo_felixstowe,ningbo_felixstowe,False,9854.11,7557.73,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,high,2030,10,10,0.08,hold_final,-295.29,ningbo_felixstowe,ningbo_felixstowe,False,10130.79,7990.85,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,low,2026,10,5,0.08,truncate,-30.53,ningbo_felixstowe,ningbo_felixstowe,False,194.13,73.25,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
ammonia,cbam_default,low,2027,10,4,0.08,truncate,-17.86,ningbo_felixstowe,ningbo_felixstowe,False,176.66,79.09,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
ammonia,cbam_default,low,2028,10,3,0.08,truncate,-21.23,ningbo_felixstowe,ningbo_felixstowe,False,154.52,68.42,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
ammonia,cbam_default,low,2029,10,2,0.08,truncate,-30.75,ningbo_felixstowe,ningbo_felixstowe,False,124.62,54.57,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
ammonia,cbam_default,low,2030,10,1,0.08,truncate,-42.45,ningbo_felixstowe,ningbo_felixstowe,False,78.41,35.96,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
hydrogen,cbam_default,low,2026,10,5,0.08,truncate,-407.79,ningbo_felixstowe,ningbo_felixstowe,False,2413.63,447.97,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
hydrogen,cbam_default,low,2027,10,4,0.08,truncate,-393.93,ningbo_felixstowe,ningbo_felixstowe,False,2166.07,483.57,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
hydrogen,cbam_default,low,2028,10,3,0.08,truncate,-475.21,ningbo_felixstowe,ningbo_felixstowe,False,1809.99,418.34,0.0,0.0,desnz,"DESNZ traded carbon values (official, real 2025 prices)"
