corridor,product,pathway,year,price_scenario,route_scenario,speed_scenario,vessel_set,vessel_class,uk_ets_variant,uk_price_variant,bunker_fuel,currency,cargo_tonnes,embedded_emissions_tco2e_per_tonne,cbam_cost_per_tonne,eu_ets_cost_per_tonne,fueleu_cost_per_tonne,uk_ets_cost_per_tonne,maritime_cost_per_tonne,total_compliance_cost_per_tonne
halifax_hamburg,hydrogen,cbam_default,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,861.2486662499999,13.834849004804392,7.943896304941359,0.0,21.77874530974575,883.0274115597457
halifax_hamburg,ammonia,grey_smr,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,105.06179250000001,1.4361707812333013,0.8246415814398889,0.0,2.26081236267319,107.3226048626732
halifax_hamburg,ammonia,green_electrolysis,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.4361707812333013,0.8246415814398889,0.0,2.26081236267319,2.26081236267319
halifax_hamburg,ammonia,cbam_default,2030,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,91.5017425,1.4361707812333013,0.8246415814398889,0.0,2.26081236267319,93.7625548626732
ningbo_felixstowe,hydrogen,green_electrolysis,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,5828,2.34,0.0,0.0,0.0,0.40782429649965685,0.40782429649965685,0.40782429649965685
ningbo_felixstowe,hydrogen,coal_gasification,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,5828,20.09,0.0,0.0,0.0,0.40782429649965685,0.40782429649965685,0.40782429649965685
ningbo_felixstowe,hydrogen,blue_ccs,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,5828,6.28,0.0,0.0,0.0,0.40782429649965685,0.40782429649965685,0.40782429649965685
ningbo_felixstowe,hydrogen,cbam_default,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,5828,26.64,0.0,0.0,0.0,0.40782429649965685,0.40782429649965685,0.40782429649965685
ningbo_felixstowe,ammonia,coal_gasification,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,56142,6.15,0.0,0.0,0.0,0.042335506394499664,0.042335506394499664,0.042335506394499664
ningbo_felixstowe,ammonia,green_electrolysis,2026,low,suez,base,gas_carrier,VLGC/VLAC,current_scope,frozen,n/a,GBP,56142,0.818,0.0,0.0,0.0,0.042335506394499664,0.042335506394499664,0.042335506394499664
